District,District_enc
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
ALAPPUZHA,5.984732824427481
