PS Name,PS Name_enc
Venmony,2.0
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Ambalapuzha,7.7
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Harippad,9.333333333333334
Kanakakunnu,1.5555555555555556
Kareelakulangara,6.2727272727272725
Kayamkulam,7.545454545454546
Kuthiathode PS,7.818181818181818
Mannachery,8.222222222222221
Mararikkulam,5.1
Mavelikara,6.111111111111111
Pattanakkadu,5.666666666666667
Punnapra,7.416666666666667
Vallikunnam,3.6666666666666665
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Ambalapuzha,7.7
Aroor,6.545454545454546
Arthinkal,5.166666666666667
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Edathua,2.875
Harippad,9.333333333333334
Kanakakunnu,1.5555555555555556
Kareelakulangara,6.2727272727272725
Kayamkulam,7.545454545454546
Kurathikad,3.142857142857143
Kuthiathode PS,7.818181818181818
Mannachery,8.222222222222221
Mannar,2.625
Mararikkulam,5.1
Mavelikara,6.111111111111111
Muhamma,6.857142857142857
Nedumudy,2.1666666666666665
Nooranadu,8.11111111111111
Pattanakkadu,5.666666666666667
Poochakkal,4.181818181818182
Pulincunnu,3.2
Punnapra,7.416666666666667
Ramankari,3.2
Thrikkunnapuzha,2.888888888888889
Vallikunnam,3.6666666666666665
Hill Palace (Thrippunnithura),8.909090909090908
Kadavanthra ,3.1666666666666665
Maradu,5.5
Ernakulam Central ,7.642857142857143
Kannamali ,3.1666666666666665
Maradu,5.5
Palluruthy Kasaba,6.636363636363637
Cheranelloor ,4.75
Elamakkara,4.2
Eloor ,2.2
Ernakulam Central ,7.642857142857143
Ernakulam Town North ,7.857142857142857
Ernakulam Town South ,3.1818181818181817
Fort Kochi  ,2.875
Harbour,2.272727272727273
Hill Palace (Thrippunnithura),8.909090909090908
Infopark,4.2
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Kannamali ,3.1666666666666665
Maradu,5.5
Mattancherry ,3.0
Mulavukadu ,2.5
Palarivattom ,6.25
Palluruthy Kasaba,6.636363636363637
Panangad ,5.6
Thoppumpady ,2.909090909090909
Thrikkakara,5.923076923076923
Udayamperoor,7.75
Ambalamedu,1.625
Cheranelloor ,4.75
Ernakulam Central ,7.642857142857143
Ernakulam Town North ,7.857142857142857
Ernakulam Town South ,3.1818181818181817
Fort Kochi  ,2.875
Harbour,2.272727272727273
Hill Palace (Thrippunnithura),8.909090909090908
Infopark,4.2
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Kannamali ,3.1666666666666665
Maradu,5.5
Mattancherry ,3.0
Palarivattom ,6.25
Palluruthy Kasaba,6.636363636363637
Panangad ,5.6
Thoppumpady ,2.909090909090909
Thrikkakara,5.923076923076923
Udayamperoor,7.75
Cheranelloor ,4.75
Elamakkara,4.2
Ernakulam Central ,7.642857142857143
Ernakulam Town South ,3.1818181818181817
Harbour,2.272727272727273
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Palarivattom ,6.25
Palluruthy Kasaba,6.636363636363637
Panangad ,5.6
Thoppumpady ,2.909090909090909
Thrikkakara,5.923076923076923
Udayamperoor,7.75
Cheranelloor ,4.75
Elamakkara,4.2
Ernakulam Central ,7.642857142857143
Ernakulam Town North ,7.857142857142857
Ernakulam Town South ,3.1818181818181817
Fort Kochi  ,2.875
Harbour,2.272727272727273
Hill Palace (Thrippunnithura),8.909090909090908
Infopark,4.2
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Maradu,5.5
Mattancherry ,3.0
Palarivattom ,6.25
Palluruthy Kasaba,6.636363636363637
Panangad ,5.6
Thoppumpady ,2.909090909090909
