District,Spot Accident,PS Name,Accident_Count,Cluster,Label
0.06229196386115074,0.0021398002853067048,0.0021398002853067048,1,1,Low incident area
0.06229196386115074,0.009985734664764621,0.003090822634331907,1,1,Low incident area
0.06229196386115074,0.009985734664764621,0.0021398002853067048,1,1,Low incident area
0.06229196386115074,0.10651450309082264,0.002615311459819306,15,2,Hotspot
0.06229196386115074,0.10651450309082264,0.002615311459819306,20,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0023775558725630053,19,2,Hotspot
0.06229196386115074,0.10651450309082264,0.002615311459819306,20,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0014265335235378032,5,1,Low incident area
0.06229196386115074,0.10651450309082264,0.003090822634331907,32,2,Hotspot
0.06229196386115074,0.10651450309082264,0.003090822634331907,26,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0019020446980504042,10,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0021398002853067048,17,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0021398002853067048,3,1,Low incident area
0.06229196386115074,0.10651450309082264,0.002615311459819306,13,2,Hotspot
0.06229196386115074,0.10651450309082264,0.002615311459819306,13,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0016642891107941037,1,1,Low incident area
0.06229196386115074,0.10651450309082264,0.002615311459819306,34,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0021398002853067048,9,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0019020446980504042,1,1,Low incident area
0.06229196386115074,0.10651450309082264,0.0023775558725630053,8,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0021398002853067048,11,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0016642891107941037,12,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0014265335235378032,5,1,Low incident area
0.06229196386115074,0.10651450309082264,0.0021398002853067048,14,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0021398002853067048,4,1,Low incident area
0.06229196386115074,0.10651450309082264,0.002615311459819306,4,1,Low incident area
0.06229196386115074,0.10651450309082264,0.0011887779362815027,2,1,Low incident area
0.06229196386115074,0.10651450309082264,0.0028530670470756064,17,2,Hotspot
0.06229196386115074,0.10651450309082264,0.0011887779362815027,1,1,Low incident area
0.06229196386115074,0.10651450309082264,0.0021398002853067048,3,1,Low incident area
0.06229196386115074,0.10651450309082264,0.0021398002853067048,8,2,Hotspot
0.06229196386115074,0.10651450309082264,0.00023775558725630053,3,1,Low incident area
0.06229196386115074,0.0922491678554446,0.002615311459819306,15,2,Hotspot
0.06229196386115074,0.0922491678554446,0.002615311459819306,27,2,Hotspot
0.06229196386115074,0.0922491678554446,0.0023775558725630053,8,2,Hotspot
0.06229196386115074,0.0922491678554446,0.002615311459819306,2,1,Low incident area
0.06229196386115074,0.0922491678554446,0.0014265335235378032,2,1,Low incident area
0.06229196386115074,0.0922491678554446,0.003090822634331907,8,2,Hotspot
0.06229196386115074,0.0922491678554446,0.003090822634331907,11,2,Hotspot
0.06229196386115074,0.0922491678554446,0.0019020446980504042,2,1,Low incident area
0.06229196386115074,0.0922491678554446,0.0021398002853067048,1,1,Low incident area
0.06229196386115074,0.0922491678554446,0.002615311459819306,2,1,Low incident area
0.06229196386115074,0.0922491678554446,0.002615311459819306,5,1,Low incident area
0.06229196386115074,0.0922491678554446,0.0016642891107941037,5,1,Low incident area
0.06229196386115074,0.0922491678554446,0.002615311459819306,3,1,Low incident area
0.06229196386115074,0.0922491678554446,0.0021398002853067048,15,2,Hotspot
0.06229196386115074,0.0922491678554446,0.0019020446980504042,2,1,Low incident area
0.06229196386115074,0.0922491678554446,0.0021398002853067048,2,1,Low incident area
0.06229196386115074,0.0922491678554446,0.0016642891107941037,2,1,Low incident area
0.06229196386115074,0.0922491678554446,0.0021398002853067048,4,1,Low incident area
0.06229196386115074,0.0922491678554446,0.002615311459819306,4,1,Low incident area
0.06229196386115074,0.0922491678554446,0.0011887779362815027,7,2,Hotspot
0.06229196386115074,0.0922491678554446,0.0028530670470756064,2,1,Low incident area
0.06229196386115074,0.0922491678554446,0.0021398002853067048,2,1,Low incident area
0.06229196386115074,0.0922491678554446,0.0021398002853067048,2,1,Low incident area
0.06229196386115074,0.0922491678554446,0.00047551117451260106,1,1,Low incident area
0.06229196386115074,0.07156443176414645,0.002615311459819306,6,2,Hotspot
0.06229196386115074,0.07156443176414645,0.002615311459819306,1,1,Low incident area
0.06229196386115074,0.07156443176414645,0.0023775558725630053,5,1,Low incident area
0.06229196386115074,0.07156443176414645,0.002615311459819306,7,2,Hotspot
0.06229196386115074,0.07156443176414645,0.003090822634331907,1,1,Low incident area
0.06229196386115074,0.07156443176414645,0.003090822634331907,4,1,Low incident area
0.06229196386115074,0.07156443176414645,0.0021398002853067048,3,1,Low incident area
0.06229196386115074,0.07156443176414645,0.002615311459819306,2,1,Low incident area
0.06229196386115074,0.07156443176414645,0.002615311459819306,3,1,Low incident area
0.06229196386115074,0.07156443176414645,0.002615311459819306,4,1,Low incident area
0.06229196386115074,0.07156443176414645,0.0019020446980504042,2,1,Low incident area
0.06229196386115074,0.07156443176414645,0.0014265335235378032,1,1,Low incident area
0.06229196386115074,0.07156443176414645,0.0021398002853067048,1,1,Low incident area
0.06229196386115074,0.07156443176414645,0.002615311459819306,4,1,Low incident area
0.06229196386115074,0.07156443176414645,0.0028530670470756064,1,1,Low incident area
0.06229196386115074,0.07156443176414645,0.0021398002853067048,1,1,Low incident area
0.06229196386115074,0.07156443176414645,0.0021398002853067048,1,1,Low incident area
